9789,Borussia Dortmund,DOR,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,Dortmund,BORUSSIA DORTMU,Dortmund
10189,FC Schalke 04,S04,FC Schalke 04,FC Schalke 04,Schalke 04,Schalke 04,Schalke 04,Schalke,Schalke 04,SCHALKE 04,Schalke
9904,Hannover 96,HAN,Hannover 96,Hannover 96,Hannover 96,Hannover 96,Hannover 96,Hannover,Hannover 96,HANNOVER,Hannover
8721,VfL Wolfsburg,WOL,VfL Wolfsburg,VfL Wolfsburg,Wolfsburg,Wolfsburg,VfL Wolfsburg,Wolfsburg,Wolfsburg,WOLFSBURG,Wolfsburg
8722,1. FC Köln,FCK,1. FC Köln,FC Koln,FC Koln,Cologne,FC Cologne,Koln,FC Koln,FC KOLN,1. FC Koln
9810,Eintracht Frankfurt,EFR,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,Frankfurt,Frankfurt,EINTRACHT FRANK,Eintracht Frankfurt
8177,Hertha BSC Berlin,HBE,Hertha BSC Berlin,Hertha Berlin,Hertha Berlin,Hertha Berlin,Hertha Berlin,Hertha Berlin,Hertha BSC,HERTHA BERLIN,Hertha Berlin
9912,DSC Arminia Bielefeld,BIE,Arminia Bielefeld,Arminia Bielefeld,Arminia Bielefeld,Arminia Bielefeld,Arminia Bielefeld,,Bielefeld,ARMINIA BIELEFE,Arminia Bielefeld
8697,SV Werder Bremen,WBR,Werder Bremen,Werder Bremen,Werder Bremen,Werder Bremen,Werder Bremen,Werder Bremen,Bremen,WERDER BREMEN,SV Werder Bremen
8398,FC Energie Cottbus,COT,Energie Cottbus,Energie Cottbus,Energie Cottbus,Energie Cottbus,Energie Cottbus,,Cottbus,COTTBUS,Energie Cottbus
8226,TSG 1899 Hoffenheim,HOF,TSG 1899 Hoffenheim,1899 Hoffenheim,Hoffenheim,Hoenheim,TSG Hoffenheim,Hoffenheim,Hoffenheim,HOFFENHEIM,Hoffenheim
9788,Borussia Mönchengladbach,GLA,Borussia Mönchengladbach,Borussia Monchengladbach,Monchengladbach,Borussia Moenchengladbach,Borussia Monchengladbach,M'Gladbach,Gladbach,MONCHENGLADBACH,B. Monchengladbach
10269,VfB Stuttgart,STU,VfB Stuttgart,VfB Stuttgart,Stuttgart,VfB Stuttgart,VfB Stuttgart,Stuttgart,Stuttgart,STUTTGART,VfB Stuttgart
8295,Karlsruher SC,KAR,Karlsruher SC,Karlsruher SC,Karlsruher,Karlsruher,Karlsruher SC,,Karlsruhe,KARLSRUHER,Karlsruher
9911,VfL Bochum,BOC,VfL Bochum,VfL Bochum,Bochum,Bochum,VfL Bochum,,Bochum,BOCHUM,Bochum
8358,SC Freiburg,FRE,SC Freiburg,SC Freiburg,Freiburg,Freiburg,SC Freiburg,Freiburg,Freiburg,FREIBURG,Freiburg
8165,1. FC Nürnberg,NUR,1. FC Nürnberg,FC Nurnberg,Nurnberg,Nuernberg,Nurnberg,Nurnberg,Nurnberg,NURNBERG,Nurnberg
9905,1. FSV Mainz 05,MAI,FSV Mainz 05,FSV Mainz 05,Mainz 05,Mainz 05,FSV Mainz 05,Mainz,Mainz 05,MAINZ,Mainz
8350,1. FC Kaiserslautern,KAI,1. FC Kaiserslautern,FC Kaiserslautern,Kaiserslautern,Kaiserslautern,Kaiserslautern,,Kaiserslautern,KAISERSLAUTERN,Kaiserslautern
